Experiment No,cnn1,cnn2,cnn3,cnn4,cnn5,d1,d2,train accuracy,train top5,test accuracy, test top5
0,0.0,0.0,0.0,0.30000000000000004,0.0,0.6000000000000001,0.0,0.3668790595064536,0.7044756776817506,0.3248,0.6568
1,0.0,0.5,0.2,0.0,0.0,0.2,0.1,0.46288782264463996,0.7933103969655987,0.3564,0.712
2,0.0,0.0,0.0,0.5,0.0,0.5,0.1,0.3311014085822316,0.676828609784736,0.2744,0.6208
3,0.2,0.5,0.5,0.1,0.0,0.2,0.5,0.40598916950845926,0.7513460974771867,0.348,0.7072
4,0.0,0.30000000000000004,0.0,0.0,0.0,0.5,0.30000000000000004,0.3863492602254008,0.7314901954780076,0.3272,0.6796
5,0.5,0.30000000000000004,0.4,0.5,0.6000000000000001,0.0,0.1,0.28632920376149185,0.6428714689093605,0.2524,0.596
