Experiment No,cnn1,cnn2,cnn3,cnn4,cnn5,d1,d2,train accuracy,train top5,test accuracy, test top5
0,0.4,0.0,0.0,0.5,0.0,0.4,0.0,0.39804372309871494,0.7472730919431143,0.3336,0.6888
1,0.5,0.1,0.0,0.2,0.0,0.1,0.4,0.44196738510004785,0.7662341669678885,0.3616,0.7068
2,0.0,0.1,0.2,0.2,0.0,0.4,0.2,0.4204452535614022,0.7590755511708104,0.3552,0.7108
3,0.30000000000000004,0.1,0.0,0.4,0.5,0.6000000000000001,0.5,0.3707823564810127,0.7256583920940128,0.322,0.678
4,0.1,0.6000000000000001,0.0,0.6000000000000001,0.4,0.4,0.0,0.3809957264302544,0.7313513430164621,0.3264,0.6804
5,0.30000000000000004,0.4,0.2,0.6000000000000001,0.30000000000000004,0.0,0.0,0.42950151966535033,0.7774349321992321,0.3512,0.7012
6,0.0,0.4,0.0,0.6000000000000001,0.0,0.1,0.0,0.44364904269171684,0.7861517811712794,0.3596,0.7068
