Experiment No,cnn1,cnn2,cnn3,cnn4,cnn5,d1,d2,train accuracy,train top5,test accuracy, test top5
0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4733634694606323,0.8031997778397398,0.3576,0.7004
1,0.0,0.0,0.0,0.0,0.0,0.4,0.30000000000000004,0.44536155638204333,0.77155684465863,0.3764,0.7228
2,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.49723066480116684,0.8157119274310447,0.3868,0.7376
3,0.0,0.4,0.0,0.1,0.0,0.4,0.0,0.4662819939236468,0.7915053149673452,0.3852,0.7208
4,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.41006217505402653,0.7536911612721788,0.35,0.6916
5,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.5,0.3767530123293119,0.7207214156807444,0.3192,0.686
6,0.0,0.5,0.6000000000000001,0.0,0.30000000000000004,0.2,0.0,0.47865529105156684,0.8000215992754743,0.3876,0.7348
